target,features_1,features_2,features_3,features_4,features_5,features_6,features_7,features_8,features_9,features_10
1,-3.11949343431609,-1.38211078620393,-0.371667509823599,-1.12181851940206,-1.57885942147476,-5.06870912791116,-0.981538639512995,-1.27108108265167,-1.20092120342856,-1.19348555584577
0,-4.60161644660234,-0.5677205217724,-0.63089047472115,-0.549873302890318,-0.353540044155722,-0.4009988826526,-0.528725141896858,-3.23359863471423,-0.806352202958033,-0.944901175584927
0,-0.706919147603674,-0.155651790930864,-3.23985900845728,-0.0582680016915836,-2.75716892231581,-0.0826828446426122,-1.83863646877842,-1.11624598837227,-4.05551149287543,-2.86283634092962
0,-0.101656660578727,-0.148758075763562,-0.994168241671445,-0.245562922307474,-0.465053456756207,-0.195823372867925,-0.373433900052469,-0.179709363929497,-1.30441795447674,-0.225654927900473
0,-0.618996780147869,-0.499874619054573,-0.842867888582489,-2.00261424674977,-0.222292403180697,-0.26045192704311,-0.811423586325885,-0.332823446724929,-2.31780281932827,-0.374032372441597
1,-0.637390261423374,-1.30923683290665,-0.0231749544479013,-0.286026349172196,-0.554143332201439,-0.754110243867166,-1.79701622369139,-0.0065479787419856,-1.13899947706806,-0.834678696460521
1,-0.261105427908535,-0.279187139313189,-0.187749519461705,-0.679144983375549,-0.178234888445603,-0.46289672060856,-0.462017120459791,-0.504688593304557,-0.32708614300687,-0.139944017658389
1,-2.5981011648402,-0.891278522704759,-0.895847891906524,-1.28830428958643,-0.0264839883251164,-0.451914710458573,-0.836097825138897,-4.22029654387326,-0.0704059042474272,-1.3739655796397
1,-0.0617797006741028,-0.0672277718129177,-0.0690471024025879,-0.59172816561885,-0.18480548613062,-0.408403638592764,-0.834703531793438,-0.0356834816979885,-0.0381474461557903,-0.374090605999856
1,-1.9927048614073,-2.70768318707026,-1.85400869437053,-1.651051785433,-0.488240374512406,-1.73732775034396,-1.40813020940959,-0.159399186242763,-0.93844569357883,-0.483484819387278
1,-0.685333953746777,-0.589128375024401,-1.11623773763342,-1.03981957721211,-0.288218372637782,-1.0897504558513,-0.641156497311796,-1.35332249653838,-1.00858889772989,-0.416811563492525
1,-0.964261244593005,-0.114516662697469,-0.084496982034146,-1.48473225139818,-0.466307816768616,-0.676568061793238,-3.35091142096198,-0.494370177949435,-0.311638231938804,-1.62203497330253
1,-0.633234334114059,-1.15362510841855,-0.0666966941770719,-0.917702963343221,-2.30009644804181,-0.93489233803715,-0.998344947415703,-0.21016989665843,-0.409385035224743,-0.573988816020433
1,-3.70692469047977,-1.56961906014696,-0.219905437685169,-0.721640212439367,-1.14377459652682,-0.180754018849766,-1.18149457961277,-0.395790879267665,-0.241894727062278,-1.28342867379019
1,-0.0770895847703401,-1.51343586605695,-0.229864316410465,-0.426211019600645,-0.141268643294934,-0.00421737792115489,-1.6303378907985,-0.232490534209544,-0.193469103801057,-1.60354182825661
0,-0.375544069306428,-0.89071892608583,-1.47919569932103,-0.853923855049354,-0.827494569639056,-2.72676823815712,-0.447078124333622,-0.872408145442629,-2.82211163015273,-2.08910845073399
1,-0.0255727934396853,-0.693591824123218,-0.2548161587307,-0.651213900257746,-0.288034763369664,-0.515138730630878,-1.24245509390946,-0.651688205498519,-0.367583464529573,-0.166732620576466
0,-0.0813158024186776,-0.495157473451157,-1.7669995701303,-0.567129046297673,-1.96359804587834,-2.72855443305706,-0.420691896954471,-0.686753331191065,-0.872744880187333,-1.67744042003407
0,-0.726578966449281,-1.65292267618918,-0.312734944415941,-0.436971206859244,-0.646223785654029,-0.106795946106127,-0.205171642051881,-1.37163596732653,-1.20057153407537,-0.755254229763488
1,-1.51285568894687,-0.684220437524598,-0.336248142377941,-0.0970905128778941,-0.382921020290393,-0.0886003856910381,-0.975172649839556,-0.0600468419639752,-1.25781804351487,-2.09307224089233
1,-3.14827223239555,-1.50439952823274,-0.176460457986504,-0.397311687534518,-2.47481855151078,-2.51841968882214,-0.462864312752371,-0.593131541652527,-0.135990388697398,-1.05172117552573
0,-0.724428844701886,-1.03135907839467,-0.843777377208177,-0.885572415632428,-0.668702026317759,-0.0356080446640592,-0.503767797077009,-0.304779105794889,-1.28973670785028,-6.96891725417687
1,-0.559034492161293,-1.55862132336808,-0.407701279211644,-0.357700170834116,-0.956473015148374,-2.07668795510383,-0.991377505274986,-1.47343464574378,-2.4233206684042,-2.03500072200774
0,-0.181971942487859,-0.849538207209033,-0.27563731986274,-0.901219869294569,-1.94745923548553,-0.473650476753027,-0.419344877164425,-1.82708829346986,-0.497430853845775,-2.60648248985355
0,-1.50386344475664,-0.000302702831853903,-1.53810272033337,-3.37608909645855,-0.822173820295642,-0.128728925365512,-2.05779531886065,-1.00366950704596,-0.0262713196844551,-1.9994657977105
0,-0.206481957158371,-0.000297695594340786,-0.605220906192425,-4.31519500140215,-3.52998738591997,-0.566524730785158,-0.157677164183878,-1.11432138296366,-0.585259674855194,-0.95164321033049
0,-0.663475208169789,-0.139278112280219,-0.0287908187911262,-2.75137014639149,-4.18065983247871,-0.00698964879446219,-1.80230824027002,-0.120149376923806,-0.394494873131638,-1.32086474922128
0,-1.41933426880852,-0.275355403017117,-0.409983535967643,-0.895412771657261,-1.84871276893551,-0.00430914046826268,-3.0815670223461,-0.31325268680219,-1.56231559264998,-0.0542770635034128
0,-0.327779423419648,-2.16595786445398,-0.882285550660224,-1.18179395467198,-1.86800366730944,-0.482412562406325,-0.0738923249666887,-0.390880162477119,-0.0370730990342117,-1.17820921643752
0,-0.608038667594531,-1.25688122301136,-0.609414934139281,-1.60271828185571,-2.15121413908536,-3.44876929327026,-0.793709843247235,-2.67156594072712,-0.755645263098511,-1.03773430882055
0,-0.967993556752293,-1.34501098101288,-1.0621382571295,-0.770564730758338,-3.47227491988965,-1.01121562486102,-0.476196288917731,-1.82629418044274,-0.369587839776101,-3.05724875982868
0,-0.0326897298237993,-0.272519398790562,-0.448840453186911,-1.101414529869,-0.525462767365823,-1.68435716745281,-1.18616379515068,-0.550960199185331,-1.9376156942061,-1.17137373169931
0,-0.328515521032169,-0.353415457433221,-0.905632433148705,-1.28702249337052,-3.18162895088014,-1.4334291451545,-1.98833064689804,-1.08698687639706,-0.302294220953964,-2.85300447564046
1,-0.708358175876781,-0.609785838275823,-0.689105075534972,-0.269171861526923,-0.641069670212133,-2.00458631469024,-6.65582598557324,-0.0985935355575754,-0.716390603061438,-0.924313438761785
1,-0.457399291316134,-0.957618522497104,-0.323198158096834,-0.191638583710046,-0.211714370257892,-0.660074660369875,-0.318465414310695,-0.075905735110138,-1.91645754283356,-0.181937157215816
1,-0.524933417328337,-1.65874847380355,-0.0642218828359648,-0.00882801753467746,-0.66558469484871,-0.0133403782179468,-0.870208511123859,-0.834949119114748,-0.515307501868952,-0.435055590084616
1,-0.535069013078935,-0.669872396872562,-0.389434732555255,-0.41772325393001,-0.678717214471667,-1.41790684966723,-0.9798191955578,-0.193209544941951,-1.21982679092251,-1.43464911421629
0,-0.323513672092689,-0.12585718274544,-0.0411602928079632,-0.492120123646881,-1.21382121854593,-0.758756520929565,-0.51623566576311,-0.0616197212372246,-0.599425455661057,-2.92383677609879
